1.14E+00,9.81E-01,2.49E+00,1.00E+00,1.21E+00,1.04E+00
1.32E+00,9.98E-01,1.04E+00,9.98E-01,1.16E+00,1.04E+00
1.27E+00,9.81E-01,1.03E+00,9.66E-01,1.10E+00,1.04E+00
1.43E+00,9.54E-01,1.03E+00,9.50E-01,1.32E+00,1.04E+00
1.17E+00,1.02E+00,1.00E+00,1.01E+00,1.13E+00,1.04E+00
1.20E+00,9.57E-01,1.03E+00,9.69E-01,1.13E+00,1.04E+00
1.47E+00,9.66E-01,1.01E+00,9.60E-01,1.21E+00,1.04E+00
1.29E+00,1.01E+00,1.01E+00,9.74E-01,1.12E+00,1.04E+00
1.30E+00,9.92E-01,1.05E+00,9.61E-01,1.05E+00,1.04E+00
1.17E+00,1.01E+00,1.07E+00,9.75E-01,1.16E+00,1.04E+00
