3.207898750305175639e+01,3.103937263488769460e+01,3.475447959899902628e+01,3.103154563903808594e+01,3.201369209289551065e+01
3.096561622619628906e+01,3.270463867187500284e+01,3.388979988098144247e+01,3.103855743408202983e+01,2.955972404479980398e+01
3.223643379211425497e+01,3.113817214965820312e+01,3.567699127197265341e+01,3.066444358825683736e+01,2.991515045166015696e+01
3.176702156066894389e+01,3.042840042114257670e+01,3.540869598388671591e+01,3.089753341674804688e+01,3.108300743103027486e+01
3.212059516906738565e+01,2.991413879394531250e+01,3.515320396423339844e+01,3.145149040222167969e+01,3.074676666259765767e+01
3.111101646423339773e+01,3.057070884704589986e+01,3.354223289489745952e+01,3.150830383300781179e+01,3.001711997985839986e+01
3.271331443786620952e+01,3.160841789245605327e+01,3.534570541381835795e+01,3.173535003662109233e+01,3.038257675170898509e+01
3.227640228271484091e+01,2.922301445007324361e+01,3.528311996459960653e+01,3.083369789123535298e+01,2.990031547546386648e+01
3.137120246887207031e+01,3.175414390563964773e+01,3.414866714477538778e+01,3.133488616943359517e+01,2.973350296020507955e+01
3.192845077514648366e+01,3.247147521972656392e+01,3.398339996337890767e+01,3.105014801025390625e+01,3.072207374572753835e+01
