1.06E-02,9.12E-03,1.19E-02,8.88E-03,9.42E-03,8.69E-03,1.06E-02,1.10E-02,1.11E-02
9.59E-03,9.20E-03,1.12E-02,9.07E-03,9.22E-03,8.81E-03,1.02E-02,1.10E-02,1.11E-02
1.08E-02,1.08E-02,1.21E-02,9.13E-03,9.34E-03,8.97E-03,1.14E-02,1.10E-02,1.11E-02
9.79E-03,1.01E-02,1.17E-02,9.03E-03,9.15E-03,8.60E-03,1.14E-02,1.10E-02,1.11E-02
1.10E-02,9.72E-03,1.20E-02,9.18E-03,9.31E-03,8.89E-03,1.11E-02,1.10E-02,1.11E-02
1.02E-02,1.04E-02,1.25E-02,9.05E-03,9.38E-03,8.86E-03,1.12E-02,1.10E-02,1.11E-02
1.03E-02,9.35E-03,1.19E-02,9.03E-03,9.06E-03,8.68E-03,1.14E-02,1.10E-02,1.11E-02
9.95E-03,1.02E-02,1.19E-02,9.27E-03,8.98E-03,9.03E-03,1.10E-02,1.10E-02,1.11E-02
1.00E-02,1.03E-02,1.17E-02,9.08E-03,9.02E-03,8.98E-03,1.15E-02,1.10E-02,1.11E-02
9.66E-03,9.10E-03,1.20E-02,8.96E-03,9.20E-03,8.62E-03,1.28E-02,1.10E-02,1.11E-02
