2.69E+01,3.75E+01,8.38E+01,2.27E+02,1.73E+02,2.15E+01,6.23E+01,2.77E+02,2.54E+01
2.93E+01,2.38E+01,8.46E+01,2.13E+02,1.45E+02,1.65E+01,8.05E+01,2.77E+02,2.54E+01
3.01E+01,2.54E+01,1.18E+02,2.30E+02,7.32E+01,1.70E+01,7.50E+01,2.77E+02,2.54E+01
2.83E+01,2.59E+01,9.85E+01,2.45E+02,1.69E+02,1.44E+01,4.66E+01,2.77E+02,2.54E+01
2.76E+01,2.69E+01,9.37E+01,2.15E+02,1.43E+02,2.10E+01,8.77E+01,2.77E+02,2.54E+01
2.47E+01,2.87E+01,9.96E+01,2.02E+02,1.04E+02,1.62E+01,1.05E+02,2.77E+02,2.54E+01
2.22E+01,2.68E+01,7.93E+01,2.34E+02,1.53E+02,1.24E+01,7.98E+01,2.77E+02,2.54E+01
2.69E+01,3.35E+01,7.99E+01,2.23E+02,1.64E+02,1.89E+01,6.47E+01,2.77E+02,2.54E+01
2.88E+01,2.32E+01,1.11E+02,2.09E+02,9.12E+01,2.46E+01,6.41E+01,2.77E+02,2.54E+01
3.22E+01,2.51E+01,8.00E+01,2.20E+02,1.12E+02,1.70E+01,5.77E+01,2.77E+02,2.54E+01
