1.17E-01,1.10E-01,1.10E-01,1.11E-01,1.41E-01,1.02E-01
1.19E-01,1.14E-01,1.11E-01,1.07E-01,1.39E-01,1.02E-01
1.11E-01,1.10E-01,1.08E-01,1.14E-01,1.27E-01,1.02E-01
1.19E-01,1.12E-01,1.15E-01,1.04E-01,1.59E-01,1.02E-01
1.35E-01,1.27E-01,1.11E-01,1.18E-01,1.11E-01,1.02E-01
1.15E-01,1.23E-01,1.13E-01,1.10E-01,1.46E-01,1.02E-01
1.29E-01,1.20E-01,1.23E-01,1.11E-01,1.35E-01,1.02E-01
1.32E-01,1.15E-01,1.11E-01,1.10E-01,1.43E-01,1.02E-01
1.27E-01,1.21E-01,1.02E-01,1.08E-01,1.22E-01,1.02E-01
1.23E-01,1.19E-01,1.09E-01,1.12E-01,1.27E-01,1.02E-01
